subject,topo_onset,power_total_onset,rms_onset,lempel_ziv_onset,wpli_alpha_onset
sub-1010,241,,,156.0,170
sub-1016,477,,341.0,284.0,149
sub-1017,268,,,180.0,193
sub-1022,266,,,444.0,149
sub-1024,186,,,186.0,153
sub-1033,211,,,202.0,149
sub-1036,215,,,151.0,152
sub-1045,206,,,149.0,149
sub-1046,180,,,180.0,283
sub-1054,300,,,153.0,298
sub-1055,149,,,,175
sub-1057,299,,,149.0,156
sub-1060,251,,,149.0,154
sub-1061,333,336.0,337.0,149.0,303
sub-1064,191,,,512.0,152
sub-1068,309,,,309.0,151
sub-1071,154,,,149.0,149
sub-1074,151,,,149.0,149
